# wave rel_strength element
3757.46 0.085 Fe
3757.69 0.096 Ti
3758.10 0.233 Fe
3758.36 0.226 Fe
3759.07 0.120 Fe
3759.21 0.118 Ti
3759.38 0.124 Ti
3759.58 0.035 Fe
3760.05 0.099 Fe
3760.22 0.042 V
3760.53 0.111 Fe
3761.06 0.011 Fe
3761.24 0.117 Ti
3761.40 0.070 Ti
3761.41 0.085 Fe
3761.87 0.122 Ti
3762.20 0.072 Fe
3762.62 0.011 Ni
3763.68 0.196 Fe
3763.89 0.194 Fe
3764.10 0.157 Fe
3765.54 0.086 Fe
3765.69 0.093 Fe
3766.09 0.084 Fe
3766.66 0.118 Fe
3766.79 0.098 Zr
3767.10 0.168 Fe
3767.29 0.166 Fe
3768.03 0.141 Fe
3769.46 0.108 Ni
3769.99 0.129 Fe
3770.31 0.114 Fe
3770.97 0.101 V
3771.49 0.050 Fe
3771.65 0.131 Ti
3772.53 0.132 Ni
3773.36 0.027 Fe
3773.69 0.109 Fe
3774.33 0.105 Y
3774.46 0.059 Fe
3774.65 0.145 Ti
3774.83 0.128 Fe
3775.57 0.085 Ni
3775.85 0.042 Fe
3776.05 0.152 Ti
3776.45 0.126 Fe
3776.56 0.115 Y
3777.07 0.054 Fe
3777.45 0.125 Fe
3778.06 0.092 Ni
3778.31 0.069 Fe
3778.35 0.036 V
3778.51 0.128 Fe
3778.75 0.173 Fe
3779.20 0.028 Fe
3779.46 0.211 Fe
3781.19 0.145 Fe
3781.94 0.040 Fe
3782.11 0.038 Fe
3782.45 0.063 Fe
3782.61 0.041 Fe
3783.34 0.129 Fe
3783.53 0.074 Ni
3785.72 0.083 Fe
3785.95 0.107 Fe
3786.04 0.102 Ti
3786.17 0.187 Fe
3786.32 0.149 Ti
3786.68 0.088 Fe
3787.16 0.066 Fe
3787.24 0.017 V
3787.81 0.109 Fe
3787.96 0.112 Fe
3788.43 0.011 Fe
3788.69 0.123 Y
3789.18 0.148 Fe
3789.28 0.011 Ti
3789.30 0.129 Fe
3789.57 0.017 Fe
3789.82 0.076 Fe
3790.09 0.078 Fe
3790.21 0.028 Mn
3790.32 0.016 V
3790.50 0.018 Fe
3790.74 0.158 Fe
3791.50 0.100 Fe
3791.74 0.051 Fe
3792.15 0.136 Fe
3792.34 0.123 Ni
3792.83 0.087 Fe
3793.36 0.143 Fe
3793.48 0.143 Fe
3793.61 0.132 Ni
3793.87 0.126 Fe
3794.34 0.114 Fe
3794.92 0.110 Fe
3795.08 0.120 Fe
3795.53 0.031 Fe
3796.01 0.103 Fe
3796.49 0.025 Zr
3796.88 0.149 Ti
3797.51 0.092 Fe
3797.95 0.019 Fe
3798.25 0.032 Mo
3798.27 0.028 Mo
3798.44 0.089 Fe
3798.58 0.093 Fe
3799.35 0.016 Ru
3799.47 0.114 Fe
3799.62 0.114 Fe
3799.79 0.105 Ti
3799.91 0.015 V
3800.74 0.015 Zr
3801.68 0.147 Fe
3801.80 0.111 Fe
3801.99 0.115 Fe
3802.28 0.083 Fe
3803.24 0.056 Fe
3803.48 0.021 V
3804.01 0.100 Fe
3804.79 0.018 Fe
3805.34 0.096 Fe
3806.22 0.119 Fe
3806.68 0.073 Fe
3806.74 0.051 Mn
3807.14 0.104 Ni
3807.54 0.094 Fe
3808.10 0.056 Co
3808.28 0.043 Fe
3808.52 0.028 V
3808.73 0.136 Fe
3809.04 0.060 Fe
3809.56 0.082 Fe
3809.60 0.038 Mn
3810.76 0.122 Fe
3811.03 0.041 Fe
3811.07 0.021 Co
3811.28 0.030 Ni
3811.88 0.144 Fe
3812.91 0.083 Fe
3813.05 0.161 Fe
3813.39 0.121 Ti
3813.49 0.036 V
3813.63 0.143 Fe
3813.91 0.147 Fe
3814.46 0.011 Co
